lat,lon,elev,desc
9980947.221,282689.653,2016.299,sh
9980950.754,282684.78,2016.485,sh
9980955.621,282688.169,2016.883,sh
9980959.425,282690.911,2017.267,sh
9980963.431,282694.19,2017.641,sh
9980968.451,282689.474,2018.026,sh
9980964.729,282685.899,2017.511,sh
9980961.63,282683.457,2017.198,sh
9980959.098,282680.216,2016.903,sh
9980961.913,282676.227,2016.703,sh
9980965.768,282678.651,2017.017,sh
9980969.718,282681.046,2017.886,sh
9980973.533,282676.867,2018.201,sh
9980968.324,282672.222,2016.893,sh
9980970.873,282675.458,2017.544,sh
9980978.152,282670.083,2017.928,sh
9980980.385,282672.019,2018.663,sh
9980978.94,282674.052,2019.198,sh
9980976.881,282672.632,2018.221,sh
9980974.626,282670.747,2017.54,sh
9980971.816,282668.399,2016.965,sh
9980975.093,282665.068,2017.005,sh
9980977.412,282667.366,2017.635,sh
9980982.224,282668.367,2018.141,sh
9980984.438,282664.343,2018.056,sh
9980983.881,282661.225,2017.862,sh
9980989.218,282660.031,2019.296,sh
9980991.266,282664.42,2019.225,sh
9980988.653,282667.506,2018.481,sh
9980986.873,282674.019,2019.792,sh
9980987.898,282672.273,2019.163,tr
9980987.079,282670.928,2018.868,sh
9980985.057,282673.325,2019.719,sh
9980981.36,282676.019,2020.366,sh
9980983.637,282675.81,2020.845,tr
9980982.119,282672.845,2020.046,tr
9980981.469,282675.79,2020.326,tr
9980977.389,282676.08,2019.496,tr
9980977.958,282676.739,2019.557,sh
9980976.892,282680.123,2019.391,sh
9980983.037,282680.248,2019.929,sh
9980988.777,282675.729,2019.734,sh
9980991.759,282679.937,2019.777,sh
9980996.379,282676.043,2019.907,sh
9980999.587,282683.293,2020.549,sh
9980995.161,282685.849,2020.233,sh
9980991.51,282688.13,2020.065,sh
9980986.467,282691.344,2019.72,sh
9980982.865,282688.846,2019.435,sh
9980977.557,282686.895,2019.101,sh
9980973.832,282693.285,2018.763,sh
9980978.771,282696.494,2019.433,sh
9980981.51,282699.792,2019.876,sh
9980976.158,282707.02,2020.379,sh
9980971.748,282705.153,2019.976,sh
9980967.771,282703.09,2019.395,sh
9980960.093,282716.545,2020.116,sh
9980963.875,282711.868,2019.899,sh
9980970.349,282715.239,2020.583,sh
9980972.567,282722.642,2020.997,tr
9980967.449,282721.408,2020.597,sh
9980964.415,282730.154,2018.987,sh
9980963.878,282727.281,2018.777,sh
9980964.757,282725.743,2019.132,sh
9980968.274,282725.057,2019.88,sh
9980963.181,282722.485,2019.685,sh
9980958.785,282716.02,2019.565,tr
9980957.196,282720.485,2019.118,sh
9980960.708,282724.429,2018.815,sh
9980955.767,282725.249,2018.201,sh
9980959.487,282729.319,2018.638,sh
9980962.749,282732.973,2019.666,sh
9980967.37,282738.182,2020.708,sh
9980969.311,282735.849,2020.2,sh
9980971.62,282733.965,2019.872,sh
9980973.871,282730.937,2019.589,sh
9980976.59,282726.868,2020.199,sh
9980977.862,282724.491,2020.734,sh
9980980.117,282718.863,2020.868,sh
9980983.76,282712.603,2021.045,tr
9980987.281,282708.418,2020.857,sh
9980995.473,282698.869,2020.603,sh
9981000.353,282695.294,2021.062,tr
9981003.803,282692.935,2021.527,sh
9981006.075,282697.872,2022.046,sh
9981001.647,282703.282,2022.377,sh
9980999.278,282703.894,2021.915,sh
9980997.749,282706.162,2022.032,sh
9980992.305,282711.79,2021.505,sh
9980988.833,282716.33,2021.396,sh
9980986.108,282721.252,2021.64,sh
9980988.513,282723.758,2022.429,sh
9980990.512,282725.778,2022.772,sh
9980995.847,282721.305,2022.621,sh
9980999.738,282718.232,2022.706,tr
9981004.475,282712.088,2022.67,sh
9981010.026,282706.579,2022.702,sh
9981008.151,282715.38,2022.951,sh
9981012.5,282719.898,2023.246,sh
9981007.678,282724.041,2023.213,sh
9981005.222,282727.314,2023.329,tr
9981007.788,282728.998,2023.419,sh
9981004.82,282732.248,2023.314,sh
9981000.587,282728.168,2023.195,sh
9980995.233,282732.211,2023.039,sh
9980996.66,282735.873,2023.109,sh
9980998.083,282738.77,2023.202,sh
9980991.58,282732.792,2022.815,fc
9980991.308,282731.827,2022.773,fc
9980990.912,282731.897,2022.608,stp
9980991.292,282732.91,2022.628,stp
9980990.297,282732.079,2022.302,stp
9980990.573,282733.019,2022.267,stp
9980989.181,282732.203,2021.897,stp
9980989.274,282733.225,2021.946,stp
9980988.474,282732.165,2021.612,stp
9980988.455,282733.049,2021.629,stp
9980988.209,282733.033,2021.505,stp
9980988.074,282732.055,2021.487,stp
9980987.107,282732.099,2021.298,stp
9980987.33,282733.091,2021.296,stp
9980986.945,282733.105,2021.154,stp
9980986.743,282732.136,2021.159,stp
9980986.224,282732.164,2020.998,stp
9980986.346,282733.202,2020.89,stp
9980990.682,282729.413,2022.864,sh
9980989.806,282728.07,2022.793,sh
9980985.433,282723.738,2022.036,sh
9980984.507,282722.393,2021.643,fc
9980987.125,282730.03,2022.115,sh
9980985.133,282728.315,2021.482,sh
9980981.384,282725.951,2020.897,sh
9980976.809,282731.201,2019.566,sh
9980978.888,282728.641,2020.055,sh
9980982.242,282731.254,2020.307,sh
9980980.455,282733.624,2019.807,sh
9980978.417,282735.999,2020.222,sh
9980974.234,282733.508,2019.849,sh
9980974.508,282737.375,2020.735,sh
9980974.503,282737.391,2020.734,sh
9980970.541,282737.397,2020.43,sh
9980968.602,282739.508,2020.851,fc
9980970.7,282741.123,2021.107,sh
9980974.98,282745.734,2021.805,tr
9980974.888,282742.659,2021.554,sh
9980977.844,282740.361,2021.401,sh
9980980.147,282738.138,2020.647,sh
9980983.387,282740.445,2020.899,sh
9980986.435,282739.066,2020.432,sh
9980988.415,282735.582,2021.146,sh
9980992.259,282735.784,2022.67,fc
9980994.13,282738.777,2022.562,sh
9980990.765,282738.124,2021.636,sh
9980991.22,282741.971,2022.051,sh
9980987.835,282741.725,2021.371,sh
9980984.858,282743.891,2022.105,sh
9980986.896,282743.126,2022.374,sh
9980989.026,282745.167,2022.84,tr
9980981.249,282749.007,2023.279,sh
9980982.616,282747.947,2023.035,sh
9980986.238,282748.769,2023.303,fc
9980985.474,282749.265,2023.322,fc
9980985.616,282751.456,2023.347,pvt
9980981.058,282753.055,2023.274,fc
9980983.054,282754.509,2023.519,pvt
9980983.427,282754.985,2023.549,trt
9980984.841,282756.031,2023.608,trt
9980987.433,282752.872,2023.596,trt
9980986.257,282751.72,2023.408,trt
9980987.81,282749.235,2023.227,pvt
